k,u_before,v_before,tape_bit,sum,u_after,v_after
223,80879821253841403029114497271501148040681070508586789977388692275197,80879821253841403029114497271501148040681070508586789977397282209789,0,161759642507682806058228994543002296081362141017173579954785974484986,80879821253841403029114497271501148040681070508586789977392987242493,80879821253841403029114497271501148040681070508586789977397282209789
224,80879821253841403029114497271501148040681070508586789977392987242493,80879821253841403029114497271501148040681070508586789977397282209789,0,161759642507682806058228994543002296081362141017173579954790269452282,80879821253841403029114497271501148040681070508586789977392987242493,80879821253841403029114497271501148040681070508586789977395134726141
225,80879821253841403029114497271501148040681070508586789977392987242493,80879821253841403029114497271501148040681070508586789977395134726141,0,161759642507682806058228994543002296081362141017173579954788121968634,80879821253841403029114497271501148040681070508586789977394060984317,80879821253841403029114497271501148040681070508586789977395134726141
226,80879821253841403029114497271501148040681070508586789977394060984317,80879821253841403029114497271501148040681070508586789977395134726141,0,161759642507682806058228994543002296081362141017173579954789195710458,80879821253841403029114497271501148040681070508586789977394060984317,80879821253841403029114497271501148040681070508586789977394597855229
227,80879821253841403029114497271501148040681070508586789977394060984317,80879821253841403029114497271501148040681070508586789977394597855229,0,161759642507682806058228994543002296081362141017173579954788658839546,80879821253841403029114497271501148040681070508586789977394329419773,80879821253841403029114497271501148040681070508586789977394597855229
228,80879821253841403029114497271501148040681070508586789977394329419773,80879821253841403029114497271501148040681070508586789977394597855229,0,161759642507682806058228994543002296081362141017173579954788927275002,80879821253841403029114497271501148040681070508586789977394329419773,80879821253841403029114497271501148040681070508586789977394463637501
229,80879821253841403029114497271501148040681070508586789977394329419773,80879821253841403029114497271501148040681070508586789977394463637501,0,161759642507682806058228994543002296081362141017173579954788793057274,80879821253841403029114497271501148040681070508586789977394396528637,80879821253841403029114497271501148040681070508586789977394463637501
230,80879821253841403029114497271501148040681070508586789977394396528637,80879821253841403029114497271501148040681070508586789977394463637501,0,161759642507682806058228994543002296081362141017173579954788860166138,80879821253841403029114497271501148040681070508586789977394396528637,80879821253841403029114497271501148040681070508586789977394430083069
231,80879821253841403029114497271501148040681070508586789977394396528637,80879821253841403029114497271501148040681070508586789977394430083069,0,161759642507682806058228994543002296081362141017173579954788826611706,80879821253841403029114497271501148040681070508586789977394413305853,80879821253841403029114497271501148040681070508586789977394430083069
232,80879821253841403029114497271501148040681070508586789977394413305853,80879821253841403029114497271501148040681070508586789977394430083069,0,161759642507682806058228994543002296081362141017173579954788843388922,80879821253841403029114497271501148040681070508586789977394413305853,80879821253841403029114497271501148040681070508586789977394421694461
