k,u_before,v_before,tape_bit,sum,u_after,v_after
51,96493407697763513326981626269802862325320638860434896936379920356380222946351,-96493407697763487615972918125958453653927161401833256581132019831694858124335,1,192986815395527000942954544395761315979247800262268153517511940188075081070686,96493407697763500471477272197880657989623900131134076758755970094037540535343,-96493407697763487615972918125958453653927161401833256581132019831694858124335
52,96493407697763500471477272197880657989623900131134076758755970094037540535343,-96493407697763487615972918125958453653927161401833256581132019831694858124335,1,-192986815395526988087450190323839111643551061532967333339887989925732398659678,96493407697763500471477272197880657989623900131134076758755970094037540535343,-96493407697763494043725095161919555821775530766483666669943994962866199329839
53,96493407697763500471477272197880657989623900131134076758755970094037540535343,-96493407697763494043725095161919555821775530766483666669943994962866199329839,1,192986815395526994515202367359800213811399430897617743428699965056903739865182,96493407697763497257601183679900106905699715448808871714349982528451869932591,-96493407697763494043725095161919555821775530766483666669943994962866199329839
54,96493407697763497257601183679900106905699715448808871714349982528451869932591,-96493407697763494043725095161919555821775530766483666669943994962866199329839,1,-192986815395526991301326278841819662727475246215292538384293977491318069262430,96493407697763497257601183679900106905699715448808871714349982528451869932591,-96493407697763495650663139420909831363737623107646269192146988745659034631215
55,96493407697763497257601183679900106905699715448808871714349982528451869932591,-96493407697763495650663139420909831363737623107646269192146988745659034631215,1,192986815395526992908264323100809938269437338556455140906496971274110904563806,96493407697763496454132161550404969134718669278227570453248485637055452281903,-96493407697763495650663139420909831363737623107646269192146988745659034631215
56,96493407697763496454132161550404969134718669278227570453248485637055452281903,-96493407697763495650663139420909831363737623107646269192146988745659034631215,1,-192986815395526992104795300971314800498456292385873839645395474382714486913118,96493407697763496454132161550404969134718669278227570453248485637055452281903,-96493407697763496052397650485657400249228146192936919822697737191357243456559
57,96493407697763496454132161550404969134718669278227570453248485637055452281903,-96493407697763496052397650485657400249228146192936919822697737191357243456559,1,192986815395526992506529812036062369383946815471164490275946222828412695738462,96493407697763496253264906018031184691973407735582245137973111414206347869231,-96493407697763496052397650485657400249228146192936919822697737191357243456559
58,96493407697763496253264906018031184691973407735582245137973111414206347869231,-96493407697763496052397650485657400249228146192936919822697737191357243456559,1,-192986815395526992305662556503688584941201553928519164960670848605563591325790,96493407697763496253264906018031184691973407735582245137973111414206347869231,-96493407697763496152831278251844292470600776964259582480335424302781795662895
59,96493407697763496253264906018031184691973407735582245137973111414206347869231,-96493407697763496152831278251844292470600776964259582480335424302781795662895,1,192986815395526992406096184269875477162574184699841827618308535716988143532126,96493407697763496203048092134937738581287092349920913809154267858494071766063,-96493407697763496152831278251844292470600776964259582480335424302781795662895
60,96493407697763496203048092134937738581287092349920913809154267858494071766063,-96493407697763496152831278251844292470600776964259582480335424302781795662895,1,-192986815395526992355879370386782031051887869314180496289489692161275867428958,96493407697763496203048092134937738581287092349920913809154267858494071766063,-96493407697763496177939685193391015525943934657090248144744846080637933714479
61,96493407697763496203048092134937738581287092349920913809154267858494071766063,-96493407697763496177939685193391015525943934657090248144744846080637933714479,1,192986815395526992380987777328328754107231027007011161953899113939132005480542,96493407697763496190493888664164377053615513503505580976949556969566002740271,-96493407697763496177939685193391015525943934657090248144744846080637933714479
62,96493407697763496190493888664164377053615513503505580976949556969566002740271,-96493407697763496177939685193391015525943934657090248144744846080637933714479,1,-192986815395526992368433573857555392579559448160595829121694403050203936454750,96493407697763496190493888664164377053615513503505580976949556969566002740271,-96493407697763496184216786928777696289779724080297914560847201525101968227375
63,96493407697763496190493888664164377053615513503505580976949556969566002740271,-96493407697763496184216786928777696289779724080297914560847201525101968227375,1,192986815395526992374710675592942073343395237583803495537796758494667970967646,96493407697763496187355337796471036671697618791901747768898379247333985483823,-96493407697763496184216786928777696289779724080297914560847201525101968227375
64,96493407697763496187355337796471036671697618791901747768898379247333985483823,-96493407697763496184216786928777696289779724080297914560847201525101968227375,1,-192986815395526992371572124725248732961477342872199662329745580772435953711198,96493407697763496187355337796471036671697618791901747768898379247333985483823,-96493407697763496185786062362624366480738671436099831164872790386217976855599
65,96493407697763496187355337796471036671697618791901747768898379247333985483823,-96493407697763496185786062362624366480738671436099831164872790386217976855599,1,192986815395526992373141400159095403152436290228001578933771169633551962339422,96493407697763496186570700079547701576218145114000789466885584816775981169711,-96493407697763496185786062362624366480738671436099831164872790386217976855599
66,96493407697763496186570700079547701576218145114000789466885584816775981169711,-96493407697763496185786062362624366480738671436099831164872790386217976855599,1,-192986815395526992372356762442172068056956816550100620631758375202993958025310,96493407697763496186570700079547701576218145114000789466885584816775981169711,-96493407697763496186178381221086034028478408275050310315879187601496979012655
67,96493407697763496186570700079547701576218145114000789466885584816775981169711,-96493407697763496186178381221086034028478408275050310315879187601496979012655,1,192986815395526992372749081300633735604696553389051099782764772418272960182366,96493407697763496186374540650316867802348276694525549891382386209136480091183,-96493407697763496186178381221086034028478408275050310315879187601496979012655
68,96493407697763496186374540650316867802348276694525549891382386209136480091183,-96493407697763496186178381221086034028478408275050310315879187601496979012655,1,-192986815395526992372552921871402901830826684969575860207261573810633459103838,96493407697763496186374540650316867802348276694525549891382386209136480091183,-96493407697763496186276460935701450915413342484787930103630786905316729551919
69,96493407697763496186374540650316867802348276694525549891382386209136480091183,-96493407697763496186276460935701450915413342484787930103630786905316729551919,1,192986815395526992372651001586018318717761619179313479995013173114453209643102,96493407697763496186325500793009159358880809589656739997506586557226604821551,-96493407697763496186276460935701450915413342484787930103630786905316729551919
70,96493407697763496186325500793009159358880809589656739997506586557226604821551,-96493407697763496186276460935701450915413342484787930103630786905316729551919,1,-192986815395526992372601961728710610274294152074444670101137373462543334373470,96493407697763496186325500793009159358880809589656739997506586557226604821551,-96493407697763496186300980864355305137147076037222335050568686731271667186735
71,96493407697763496186325500793009159358880809589656739997506586557226604821551,-96493407697763496186300980864355305137147076037222335050568686731271667186735,1,192986815395526992372626481657364464496027885626879075048075273288498272008286,96493407697763496186313240828682232248013942813439537524037636644249136004143,-96493407697763496186300980864355305137147076037222335050568686731271667186735
72,96493407697763496186313240828682232248013942813439537524037636644249136004143,-96493407697763496186300980864355305137147076037222335050568686731271667186735,1,-192986815395526992372614221693037537385161018850661872574606323375520803190878,96493407697763496186313240828682232248013942813439537524037636644249136004143,-96493407697763496186307110846518768692580509425330936287303161687760401595439
73,96493407697763496186313240828682232248013942813439537524037636644249136004143,-96493407697763496186307110846518768692580509425330936287303161687760401595439,1,192986815395526992372620351675201000940594452238770473811340798332009537599582,96493407697763496186310175837600500470297226119385236905670399166004768799791,-96493407697763496186307110846518768692580509425330936287303161687760401595439
74,96493407697763496186310175837600500470297226119385236905670399166004768799791,-96493407697763496186307110846518768692580509425330936287303161687760401595439,1,-192986815395526992372617286684119269162877735544716173192973560853765170395230,96493407697763496186310175837600500470297226119385236905670399166004768799791,-96493407697763496186308643342059634581438867772358086596486780426882585197615
75,96493407697763496186310175837600500470297226119385236905670399166004768799791,-96493407697763496186308643342059634581438867772358086596486780426882585197615,1,192986815395526992372618819179660135051736093891743323502157179592887353997406,96493407697763496186309409589830067525868046945871661751078589796443676998703,-96493407697763496186308643342059634581438867772358086596486780426882585197615
76,96493407697763496186309409589830067525868046945871661751078589796443676998703,-96493407697763496186308643342059634581438867772358086596486780426882585197615,1,-192986815395526992372618052931889702107306914718229748347565370223326262196318,96493407697763496186309409589830067525868046945871661751078589796443676998703,-96493407697763496186309026465944851053653457359114874173782685111663131098159
77,96493407697763496186309409589830067525868046945871661751078589796443676998703,-96493407697763496186309026465944851053653457359114874173782685111663131098159,1,192986815395526992372618436055774918579521504304986535924861274908106808096862,96493407697763496186309218027887459289760752152493267962430637454053404048431,-96493407697763496186309026465944851053653457359114874173782685111663131098159
78,96493407697763496186309218027887459289760752152493267962430637454053404048431,-96493407697763496186309026465944851053653457359114874173782685111663131098159,1,-192986815395526992372618244493832310343414209511608142136213322565716535146590,96493407697763496186309218027887459289760752152493267962430637454053404048431,-96493407697763496186309122246916155171707104755804071068106661282858267573295
79,96493407697763496186309218027887459289760752152493267962430637454053404048431,-96493407697763496186309122246916155171707104755804071068106661282858267573295,1,192986815395526992372618340274803614461467856908297339030537298736911671621726,96493407697763496186309170137401807230733928454148669515268649368455835810863,-96493407697763496186309122246916155171707104755804071068106661282858267573295
