k_zero_based,round_one_based,base704,rounds736,widths_guarded736,proposed_taper768,proposed_full259_768,proved_sufficient_ordinary_width258
669,670,21,21,37,37,259,258
670,671,21,21,37,37,259,258
671,672,21,21,37,37,259,258
672,673,20,20,36,36,259,258
673,674,20,20,36,36,259,258
674,675,19,19,35,35,259,258
675,676,19,19,35,35,259,258
676,677,19,19,35,35,259,258
677,678,18,18,34,34,259,258
678,679,18,18,34,34,259,258
679,680,17,17,33,33,259,258
680,681,17,17,33,33,259,258
681,682,17,17,33,33,259,258
682,683,16,16,32,32,259,258
683,684,16,16,32,32,259,258
684,685,15,15,31,31,259,258
685,686,15,15,31,31,259,258
686,687,15,15,31,31,259,258
687,688,14,14,30,30,259,258
688,689,14,14,30,30,259,258
689,690,13,13,29,29,259,258
690,691,13,13,29,29,259,258
691,692,13,13,29,29,259,258
692,693,12,12,28,28,259,258
693,694,12,12,28,28,259,258
694,695,11,11,27,27,259,258
695,696,11,11,27,27,259,258
696,697,11,11,27,27,259,258
697,698,10,10,26,26,259,258
698,699,10,10,26,26,259,258
699,700,9,9,25,25,259,258
700,701,9,9,25,25,259,258
701,702,9,9,25,25,259,258
702,703,8,8,24,24,259,258
703,704,8,8,24,24,259,258
704,705,,8,23,23,259,258
705,706,,8,23,23,259,258
706,707,,8,23,23,259,258
707,708,,8,22,22,259,258
708,709,,8,22,22,259,258
709,710,,8,21,21,259,258
710,711,,8,21,21,259,258
711,712,,8,21,21,259,258
712,713,,8,20,20,259,258
713,714,,8,20,20,259,258
714,715,,8,19,19,259,258
715,716,,8,19,19,259,258
716,717,,8,19,19,259,258
717,718,,8,18,18,259,258
718,719,,8,18,18,259,258
719,720,,8,17,17,259,258
720,721,,8,17,17,259,258
721,722,,8,17,17,259,258
722,723,,8,16,16,259,258
723,724,,8,16,16,259,258
724,725,,8,15,15,259,258
725,726,,8,15,15,259,258
726,727,,8,15,15,259,258
727,728,,8,14,14,259,258
728,729,,8,14,14,259,258
729,730,,8,13,13,259,258
730,731,,8,13,13,259,258
731,732,,8,13,13,259,258
732,733,,8,12,12,259,258
733,734,,8,12,12,259,258
734,735,,8,11,11,259,258
735,736,,8,11,11,259,258
736,737,,,,11,259,258
737,738,,,,10,259,258
738,739,,,,10,259,258
739,740,,,,9,259,258
740,741,,,,9,259,258
741,742,,,,9,259,258
742,743,,,,8,259,258
743,744,,,,8,259,258
744,745,,,,8,259,258
745,746,,,,8,259,258
746,747,,,,8,259,258
747,748,,,,8,259,258
748,749,,,,8,259,258
749,750,,,,8,259,258
750,751,,,,8,259,258
751,752,,,,8,259,258
752,753,,,,8,259,258
753,754,,,,8,259,258
754,755,,,,8,259,258
755,756,,,,8,259,258
756,757,,,,8,259,258
757,758,,,,8,259,258
758,759,,,,8,259,258
759,760,,,,8,259,258
760,761,,,,8,259,258
761,762,,,,8,259,258
762,763,,,,8,259,258
763,764,,,,8,259,258
764,765,,,,8,259,258
765,766,,,,8,259,258
766,767,,,,8,259,258
767,768,,,,8,259,258
